Student ID;Institution;Year of Study;GPA;Loadshedding Frequency;Loadshedding Duration;Loadshedding Impact
36482;University of Cape Town;3;0,002290917;6;0,366359156;None
40537;Stellenbosch University;1;0,356938754;3;7,65041679;Minimal
63162;University of Johannesburg;4;1,380648262;0;9,505694149;Moderate
19974;University of KwaZulu-Natal;1;0,892440638;5;21,45018923;Severe
94430;University of Pretoria;4;2,583510218;6;7,752742959;None
59207;University of Cape Town;1;1,554086815;3;10,77363087;Minimal
16362;Stellenbosch University;4;3,51537094;5;12,27346085;Moderate
28752;University of Johannesburg;2;0,608509026;4;0,770961374;Severe
42774;University of KwaZulu-Natal;1;3,096540126;0;10,46223575;None
15941;University of Pretoria;3;2,504114437;3;16,20091048;Minimal
43752;University of Cape Town;4;2,955316463;6;18,5804494;Moderate
29960;Stellenbosch University;1;2,742963131;0;23,38397566;Severe
95646;University of Johannesburg;4;2,105311035;3;9,971338009;None
53225;University of KwaZulu-Natal;4;3,392689523;1;18,75074633;Minimal
69511;University of Pretoria;1;2,310987772;0;20,45753823;Moderate
28334;University of Cape Town;4;2,559574237;2;8,638972048;Severe
15941;Stellenbosch University;3;3,407284011;3;13,05093718;None
97000;University of Johannesburg;2;2,877787131;5;23,25510481;Minimal
36323;University of KwaZulu-Natal;3;0,92575687;1;5,008807983;Moderate
69520;University of Pretoria;1;3,416657887;3;0,274284286;Severe
89792;University of Cape Town;4;2,13252822;3;0,321908506;None
20577;Stellenbosch University;2;3,63037834;6;16,74400029;Minimal
84602;University of Johannesburg;4;2,095627738;0;4,576088664;Moderate
20362;University of KwaZulu-Natal;1;1,890544132;6;6,725154684;Severe
86136;University of Pretoria;4;1,359814522;3;19,97867301;None
42879;University of Cape Town;1;1,555020497;3;19,28517983;Minimal
89084;Stellenbosch University;4;1,655128792;4;9,61141094;Moderate
15807;University of Johannesburg;3;2,685601952;4;9,1506516;Severe
68870;University of KwaZulu-Natal;1;2,70340813;2;20,89295115;None
16584;University of Pretoria;2;1,751679128;0;6,664609941;Minimal
81211;University of Cape Town;1;3,441036282;4;21,04853023;Moderate
71613;Stellenbosch University;1;0,644015848;0;0,473050884;Severe
67669;University of Johannesburg;4;0,968609514;5;21,54108901;None
74783;University of KwaZulu-Natal;3;0,724349738;1;23,0388207;Minimal
86983;University of Pretoria;3;3,303993457;4;18,57650129;Moderate
76392;University of Cape Town;4;1,661415273;0;19,28183176;Severe
42595;Stellenbosch University;3;1,655806363;2;22,85671703;None
98767;University of Johannesburg;4;2,106729533;2;20,38711054;Minimal
89709;University of KwaZulu-Natal;2;3,517582087;6;10,47984583;Moderate
18421;University of Pretoria;1;1,119875266;4;8,294781877;Severe
20244;University of Cape Town;3;3,128965208;0;11,71027341;None
70727;Stellenbosch University;4;0,894657461;0;8,354808053;Minimal
29684;University of Johannesburg;2;1,804827557;1;9,050523856;Moderate
46162;University of KwaZulu-Natal;4;0,159620458;0;3,229806571;Severe
63910;University of Pretoria;2;0,56405899;0;6,945999943;None
82896;University of Cape Town;3;0,679212743;3;19,98873565;Minimal
22237;Stellenbosch University;2;1,572658899;2;9,526776466;Moderate
63883;University of Johannesburg;1;3,636484399;0;18,87402214;Severe
50777;University of KwaZulu-Natal;3;0,230957692;5;15,0911748;None
81453;University of Pretoria;1;3,303664101;2;7,984595616;Minimal
21432;University of Cape Town;2;3,793802896;1;0,938202525;Moderate
23161;Stellenbosch University;4;2,325195826;4;6,465722129;Severe
55241;University of Johannesburg;1;1,68288469;3;2,426552197;None
14880;University of KwaZulu-Natal;1;2,87867914;0;7,021425113;Minimal
